Sentence,Label
"They should have the same rights, but it is fact, that they have not. Look at India, women are raped there on a daily basis.",nothing
will you help me?,appeal to (false) authority
"Yes, all the polar-bears are dying, and we are next.",appeal to fear
I am a hunter. Animals need to die in order to keep balance in the forest.,equivocation
"Yeah, and you are a guy who loves war,  thats it. You like it when people die.",ad hominem
Young boys don't need get more distracted than they already are these days. Schools have to find better ways to discipline their kids.,equivocation
No there is too much violence between anti-government protesters and police,appeal to (false) authority
It's revenue and stock price is increasing like anything!,equivocation
yes they allow us to connect,nothing
Children should learn in classroom. Our land needs more well educated people.,equivocation
"But if you read some investigative journalists, you'll find out the truth...",nothing
I don't think school uniforms can influence the pupils' performance.,nothing
"Yes, if the scientifical progress stays the same as the last 200 years.",nothing
"No, because all people are the same. You are not worth more than me, just because you are a doctor.",appeal to ridicule
The handicaps will hinder the education of the normal kids,ad hominem
eminem was like MLK for white people in the rap community...,ad hominem
My friend went to a social networking site and was abducted by another person from there. They are scary and are bad for society.,appeal to fear
I guess you don't care about the environment or our future descendants then?,ad hominem
Yes the man has been on the moon.,nothing
"I cried so hard when i watched titanic, obviously it deserves these oscars.",appeal to positive emotion
"Obviously, terrorism is a major issue which we are facing",equivocation
"Yes,,you certainly don't want your children to die from this virus.",appeal to fear
I guess the author of the question did go to a school with standard grading system. Asking such a stupid question is just a great example of inefficiency of the grading system...,ad hominem
Refugees are all criminals and you know it,ad hominem
I heard that developing countries are all dictatorships.,equivocation
Children should go to regular schools.,nothing
Striking is an important tool of freedom.,equivocation
"The media is always censoring things, but hey, you know it's a good thing right.",equivocation
Global warming is a real think that will affect your children and grandchildren.  We need a task force to tackle this huge problem before it is too late and we leave no future for our children and grandchildren.,appeal to fear
"I own a computer-factory. And im outsourcing my support-callcenter to india. I dont want those people to work like animals. I pay less money than in germany, yes, but it is still a lot of money for the workers there.",nothing
"I knew this one guy who had plastic surgery to reconstruct his ear after an accident, and it was a huge success. It was good for him, so it is an important field of medicine.",hasty generalization
"Yes, look at the Internet-Videos of the Islamic State. They decapitate people, they separate young women from their families and make them slaves. It is so sad, i cried when i watched these Videos.",appeal to pity
"They are not suffering. I got a dog, i know what i am talking about.",appeal to (false) authority
Television is great if you are bored. you can just sit there and watch.,equivocation
No. Microsoft is much better than apple,appeal to (false) authority
As long as it's used in a responsible way nuclear power is a great energy source.,equivocation
of course it all starts with a dream and a few dollars.,ad hominem
"Of course, with unlimited amount of time everything is possible. We came from fire to rockets in just some thousand years.",nothing
Television is a waste of time.,equivocation
Home is the place of love and peace. how can you fog it with smoke?,appeal to positive emotion
"Yes, because we were attacked, and if we don't go to war we will be attacked again.",hasty generalization
"If you abort your child, you miss a smiling face, whenever you could cuddle him/her. DONT legalize it for more little happy faces",appeal to pity
Just becuase someone is using it doesn't make it ok!,hasty generalization
"Yes, because he's blocked more shots than any other keeper.",nothing
There do exist local environment task forces. They all do a good job. Therefore a global environment task force has to be good as well.,hasty generalization
Christiano Ronaldo deserves the the title as world's greatest soccer player because all the experts say so.,appeal to (false) authority
I watched Reservoir Dogs. The movie was too violent for me. Im sure his movies are all too violent.,hasty generalization
"Some people need plastic surgery after horrific accidents. Therefore, all forms of plastic surgery are good and plastic surgery is an important field of medicine.",hasty generalization
"It is justified, however, domestic violence in the athletic industry is on the rise, as well as cheating and dishonesty in most athlete's marriages.",equivocation
I don't like Heavy Metal generally,nothing
Research has shown that subcontracting jobs in other countries can really benefit major companies and even startups. This would be advantageous for not only business owners but all citizens contributing to American economy.,hasty generalization
"Yes, a neighbor of mine who goes to school has such a kid in his class, and this taught him to get along with handicapped people.",hasty generalization
"No, they are athletes, they give the best they can.",equivocation
"It could be hard for students to assimilate into ""mixed gender"" society.",nothing
You are closed minded you need to get a life.,ad hominem
"If we regulate and centralise everything, we give up the freedom that brought us here. Only if we are free to explore different ways, we can find the best.",appeal to positive emotion
"Yes, Germany is such a great nation",equivocation
I'm definitely against legalization.,nothing
"Who can fully understand these computers? When i was a young boy, we sat next to each other and talked. Times have changed.",equivocation
Think of the poor animals who have lost their natural homes and have to live in zoos!,appeal to pity
"No, it's not. My husband doesn't oppress me, after all.",appeal to (false) authority
IT IS HORRIBLE TO USE NUCLEAR ENERGY.,nothing
"As long as they take the precautions and responsibilities, it is the householders who should decide together whether to smoke inside  or not.",nothing
We might not want to home school all children because it is important for them to learn how to interact with others.,nothing
But humans will suffer as major disasters will result as a part of nutural destruction(PRO),equivocation
do the best for best one who really need it,hasty generalization
I do not think so because there is always the danger that the normal childs bully the handicaped one because of their mental weakness.,nothing
It would cause great pain and suffering to any humans that would see another human being hurt by a Gorilla.,appeal to pity
Those hippies... Better get a job!!,equivocation
Apple is definitely the new Microsoft. Apple is in almost every home in America in some fashion just like Microsoft is in every home as well. Apple actually has overtaken Microsoft in terms of market share.,nothing
"Turkey helped us with the Refugees. They were beneficial for the EU there, they will be beneficial for the EU in general.",hasty generalization
We should homeschool our kids.,nothing
preservation of the species is critical especially when of the world governments are allowing the natural habitat to be destroyed. One will note of the previous sentence that it is imperative that we do relocate some members of the species to a different location – such as  a zoo.,nothing
I regard single sex education as bad.,nothing
"Yes, these people are all sick.",hasty generalization
They earned it. so it should be shown.,appeal to (false) authority
I think the society in general benefits from Social Networks.,nothing
You're crazy if you think God is in charge.,ad hominem
"For a first steps in basic research, animal testing for medical reasons is more efficient than human testing.",nothing
Drugs can kill you.,equivocation
Uli Hoeneß went to jail. Therefore celebreties are treated the same way as non-celebrities.,hasty generalization
"Sorry, but your teacher has no idea. When i was in Frankfurt some weeks ago, i met a drug-addict. He was so nice to me, it wasnt a problem at all. So we dont need heavier penalties.",hasty generalization
"Yes, human beings have hunted and eaten animals for as long as can be shown and they are partly to blame for certain animal extinctions.",nothing
Of course it is reasonable for some people to school there children at home but to school all kids at home would be fatal.,nothing
Yes but many more will die if other action is not taken,equivocation
But Craig Burley says he isn't good enough.,appeal to (false) authority
"Oh now, I'm not going to bebate with you... Habe you even read the instructions?!!",ad hominem
"If the cows are working so hard, we should probably pamper them on the farm instead.",equivocation
"These people are all sick and want to get our money, dont let them in.",hasty generalization
"Yes, you should censor parts of media because of  Facebook, for example, everybody can spread his opinion and nobody is able to check if these comments are right or false.",equivocation
"It would be a crime to look away and let the Islamic State continue decapitating people. When you see such a crime on the street you have to call police. When you see such crimes in another country, you have to get active as well. America does what is needed and fights the terror.",nothing
"No,  because these  people should not get abused.",hasty generalization
Do you really think that people who delight us with wonderful music should live like the poor?,appeal to ridicule
It's irresponsible to drive under the influence of alcohol.,nothing
The information in social networks is often not reliable.,nothing
"You only think about money, right?  You would even sell your mom.",ad hominem
"I am a mother of 3 children and my body is not perfect anymore. But i dont care, because all people are pretty, no matter what their  body looks like.",nothing
All streaming music should be for free. A friend of mine is a musician and he earns a lot from playing concerts.,hasty generalization
"Yes, because he comes from a poor background and it would shatter him if he did not win the title!",appeal to pity
"Doctors are great, they cured my mom from her depression.",equivocation
"Public broadcasters dont show good movies/series. Yesterday they showed a series about two women switching families, who wants to see something like that?",equivocation
If you censor parts of the media little children will starve because a dictator will rise and confiscate all money.,appeal to fear
Your grandma is dumb,ad hominem
"Yes, they should, because the courts have made a decision, and need to move on to other things.",equivocation
I think that one of the best soccer-players is christiano ronaldo. He scored a lot of goals and supported many goals of others.,equivocation
"It is ok to use it. Temelin exploded, but this does not mean,  that every reactor will explode. So why not,  it is cheap energy.",nothing
"Yes, because you would be a miserable dictator.",ad hominem
"No. My best friend, who is an ecologist, says that all these ""global warming"" and ""melting ice glaciers"" stories are fictive. A global task force would be used for anything but protecting environment.",appeal to (false) authority
"This is just one case, does not count for everyone.",nothing
I think that Spotify is really having a negative impact on the music industry.,equivocation
People are killing themselves doing it and raising the costs of all of healthcare because of it.,nothing
"No, my son is already playing computer games all day long.  Not in classroom!!!!!",hasty generalization
"If you allow people to drive under the influence of all kinds of drugs, you will soon have a mess on the streets.",equivocation
Of course! It would be so sad if all has been a lie.,appeal to pity
It shouldn't be legalized.,nothing
"Yes.  Philippians 4:7 says that ""God will give us peace that surpasses all understanding.""",nothing
Not exactly. But we need to take care of them more than school.,nothing
"Yes, Facebook is censoring racist comments against refugees. It works quite well. All media should be censored.",hasty generalization
"The other children were so cruel because of my ugly ears. I cried every day, thats why i had a plastic surgery. It is a very important field of medicine.",appeal to pity
Neuer was the best goalkeeper of the World Cup in 2014 because he made the most saves.,nothing
It is fair to do so to make sure no one is cheating,nothing
"Celebrity News are so funny. Yesterday i watched such a show and found out, that Gerard Butler doesnt clean his living-room.",equivocation
"Yes. Although many forms of plastic surgery can be used for superficial reasons, it is important because it is also used to reconstruct things for people after bad accidents, or for gender reassignment, skin grafts from burns, etc.",nothing
It would be going against people's human's rights to not allow them a country where their password allows them.,nothing
"Yes, my husband has the same opinion.",appeal to (false) authority
"He has made an important mark in the rap industry, but he did not live long enough to be the most influential rapper of all time.",nothing
"You silly boy, the musicians are too rich. They do not need this money.",ad hominem
History has proven that democracy is the best system available- all other systems have been eliminated.,nothing
All conspiracy theory supporters should first read Foucalt's Pendulum!,nothing
It is not. There was not a single case of oppression in my neighbourhood in the last 20 years.,hasty generalization
I do not know anyone who has gotten into an accident from driving under the influence so it is not a problem.,hasty generalization
"No, think about it... The average german like you and me has to work 40 hours per week and gets only around 15 euros per hour. ",appeal to pity
,
"I am the only one who thinks about the little children, their mamas and grandmas, who have to work in jeans-factories, because you guys want to get more money. They will have to work like animals, shame on you.",appeal to pity
There are advantages to sending your child to a co-ed school.,nothing
It is not as effective as it could be. Many students can suffer due to ineffective policies.,nothing
"I think homeschooling is a great thing, just go read some discussion forums and you'll find out yourself...",appeal to (false) authority
i need to write an argument,nothing
"Yes,  now the law treats them as things,  but they are conscious as we are. They need special rights.",nothing
"Yes, refugees who commit crimes have no respect for the country they fled to. Furthermore the situation they fled from cannot have been that bad, because they risk getting sent back.",nothing
Of course.,nothing
"Sounds great right? Not quite. In terms of micronutrients, a vegan diet is actually more susceptible to being nutritionally poor. A vegan diet is naturally low in calcium, vitamin D, iron, vitamin B12, zinc and omega-3 fatty acids. Therefore, if you follow a vegan diet it is essential that you get enough of these nutrients through specific vegan food sources – and may even need to take additional supplements.",ad hominem
,
"You are so damn soft and weak.  I guess you did never do sports, right?",ad hominem
Communication between family members suffers from watching TV.,nothing
No It simply means that they have a stockpile of cash that could buy eventually anything for them; for example – “Justice”.,nothing
"Yes, because without money, nothing can be done.",hasty generalization
"Don't you care about every child? No Child Left Behind, remember?",appeal to pity
These celebs do what they want.,equivocation
"You couldn't possibly buy that wile thinking about all the poor, abused people who were exploited to produce these things.",appeal to ridicule
"It isn't about money, it is about being healthy.",equivocation
Nuclear power is necessary.,nothing
Gorillas should live freely in nature.,nothing
good point tehe economy will grow,nothing
Endless growth is impossible.,nothing
why not? Everyone has to go sometime.,appeal to (false) authority
It is sad they will never get a date in history.,appeal to pity
You're going to hell if you think like that. That's called murder.,ad hominem
"I really felt if I had stayed in single-sex, I would have been unprepared for life after high school, socially speaking.",nothing
But these product was released after several testing procedures.,hasty generalization
Single-sex schools are more effective.,nothing
The earth is getting to warm and soon we won't have polar bears.,equivocation
Besides that of a mass boming do you have any other examples? How about the beheading yesterday was that cover by your local media? Or the doctor that was raped in london in front of her family?,appeal to (false) authority
Non-European immigrants should be accepted in Europe,nothing
"You have no idea how street is, you better stop talking!",ad hominem
Humans are not to be blamed for animal extinction.,nothing
"I don’t think school children should spend as much time as they usually do isolated by age, let alone sex.",nothing
"People are not being abused. Many new companies operate in other countries for fair wages, offering opportunities that they would not otherwise have. At the same time, American citizens benefit by manufacturing efficiency and not driving American business further into debt.",nothing
Studies say that most women like to be oppressed so I don't see how theres an issue here.,hasty generalization
"My neighbour is watching TV all day. He is super good at school, writes only the best marks. So yes, it is good vor the minds of children.",hasty generalization
You cannot send them back. They will be so sad.,appeal to pity
Why not invite everyone into EU then... (sarcasm),equivocation
"Yes, there's is no way that they could fake such an event. There is a lot proof, such as video footage and rocks brought back that could not be faked.",nothing
Uniforms have shown to be useful and well-accepted in St. Blasien private-school. Therefore all schools should introduce them.,hasty generalization
"I really felt if I had stayed in single-sex, I would have been unprepared for life after high school, socially speaking.",nothing
it is not necessary to change.,appeal to (false) authority
Only morons think facebook is a good thing for society,ad hominem
"Terror has proven itself to be a real and unignorable danger, thus something has to be done.",nothing
These university doctors did all cheat. Their undeserved title should not be shown on an official document.,hasty generalization
Poor non celebrities just commit way more crimes.,equivocation
Christians make donations for the poor and therefore want them to have a better life. Of course they're peaceful.,appeal to positive emotion
Imagine cute baby-gorillas in a prison! I say: NO,appeal to pity
Jobs should not be subcontracted into developing countries.,nothing
Because Cristian said so,appeal to (false) authority
"If you are against these tests, you support doping.",ad hominem
School uniforms just create an extra expense for parents and take away from school itself.,nothing
Sesame Street is a program for kids and its won many awards,equivocation
"Most humans are good, they love their dogs and cats. It would be too sad, if humanity did extinct animals.",appeal to positive emotion
yes because  everyone is handicap lately and needs to learn about differences.,equivocation
"I am working for UPS and my boss said, that this strike is not justified.",appeal to (false) authority
The reason for the supporters of the war on terror is 9/11.,nothing
The islamist terrorists are a serious threat to each form of progressive society.,nothing
No it is not. Nuclear-reactors will explode and everyone you know dies.,appeal to fear
"The grading system used in high school is ineffective. So many kids strive in fields other than math and English, think of all the potential lost by failing them and making them lose confidence.",appeal to pity
"No, it does not.",nothing
"Steve Jobs died, how can you offend him like that?  This question is not arguable if you have some respect for the dead. He was the best. Noone can compete with apple.",appeal to pity
"Stop trolling here and stick to the point... That's the problem of many human activista, they become short of arguments quite quickly.",equivocation
"In the USA this is the case. The problem there is, that a legal process costs a lot of money. Celebrities have more money than the average citizen, thats why they get away with more crimes.",appeal to (false) authority
We have no space and not enough money for all the refugees. Therefore we shouldnt let refugees in.,hasty generalization
"No it is not and never will be. Just because hipsters like you think that Apple's stuff looks ""so much cooler"" and throw their money at them does not make it any more important or powerful than Microsoft.",ad hominem
Social networks such as Facebook are the work of the devil.,nothing
"If you dont pay them, they might land on the street,  without food. Do you want this, apple?",appeal to fear
No many families have been separated and this needs to stop.,appeal to pity
How does that make it right? To me it seems as though you've been desensitized to violence. Would you want your kids to watch that?,appeal to fear
You are the only one who thinks about abusing these people.,ad hominem
Yes they should because equality.,hasty generalization
People who want to make abortion legal just want to have sex all over the place without and consequences and use abortion as a form of birth control.,hasty generalization
Are you medically trained and you know when they baby is formed?,ad hominem
It doesn't represent the real knowledge of a children.,appeal to (false) authority
"I believe they are to blame because humans hunt for meat and eat meat daily. Some of them more so than others, especially in other parts of the country.",nothing
"Celebrities... Look at the rap-videos, for example. This shows how reckless some of them are.",equivocation
"With the goal in mind to improve everyone's situation, growth is good for a country.",nothing
not really dear.,equivocation
"Yes, these cows have to work so hard. They have to work luke slaves.  Better make milk more expensive.",appeal to pity
Yes it is quite a worthy product released after several technological advancement from a branded company,equivocation
The rate of celebraties that go into rehab and the rate of other people going to jail for drug posession stongly suggests this is the case.,nothing
you should be really stupid if you believe into such a thing.,ad hominem
What is normal a closed mind is a handicap,ad hominem
"If those two types of children study together then the material has to be made easier for the mentally handicapped children, therefore it is not beneficial for the normal children.",appeal to (false) authority
People have been on the moon already.,nothing
"Some children like school. They learn with teachers, there.",equivocation
Nuclear energy is a cheap power source.,nothing
Women just want to have sex all over the place like a man. That's what feminism does to women.,hasty generalization
"You dont know how soccer works, have you ever kicked a ball?",ad hominem
You're probably a drug addict yourself.,ad hominem
No he sucks! And that's a fact!,ad hominem
I did not eat meat once for two weeks and I felt weak the whole time. It is bad for everyone.,hasty generalization
that makes sense unless they are dipping into their own product if you know what i mean by that one.,hasty generalization
"No, i have read, that this was all fake. I did not just hear it, i read it!!",appeal to (false) authority
"No,  i drove drunk and nobody died. Alcohole is no problem.",hasty generalization
School uniforms do not make school a more effective place to learn.,nothing
I highly recommend a co-ed school.,nothing
Who cares about streaming music from Apple. YouTube is even worse - you get only five cents for million views!,equivocation
"a vegan diet is generally thought to contain more cereals, fruits, vegetables, nuts and seeds than a non-vegan diet.",ad hominem
"Oh, only ""experts"" like you would ask this silly question!",ad hominem
"Social education is important, alongside academics. The real world is not segregated, nor are universities.",nothing
"High schools should provide  daycare services for students who have children, because it is not legit to exclude students who have children from certain possibilities to advance in society and to cut down their freedom in educational issues in an unproportional manor",nothing
Im a teacher and detentions did already exist when i was a student. I have passed school and university and im glad what i have reached in my life.,equivocation
"He is better than his teammates, therefore he is right to blame them.",hasty generalization
But think of all the children born with cleft lips. Do you want them to be made fun of?,appeal to pity
And you are as stupid as they come... your logic is flawed and you need some debating tutolage.,ad hominem
OF course they are!,nothing
Terrorists everywhere!,ad hominem
"How can a female kill her cute, innocent baby at her own will? One cannot forget this murder, it is so dramatic. Abortion should be illegal.",appeal to pity
"For what i have heard, Ebola is one of the most dangerous diseases worldwide. If we dont try to stop it it will get out of control.",equivocation
"I love my children. Thats why i give them all they want, also computers in classrooms. If you love yours, do it as well.",appeal to positive emotion
yes we conitinue to repress them,ad hominem
We need drug testing to ensure fair competition.,nothing
Well you're ugly.,ad hominem
These companies deserve no discussion. Steve Ballmer and Steve Jobs are such idiots.,equivocation
"If you look at the big cute,hopeful eyes of these poor gorillas in the zoo, you immediatly know, that such pretty animals should not  be held in prison.",appeal to pity
"This is not true, there are no studies that would prove that.",nothing
I read about Guttenberg and Schwans plagiarism. Doctors are all the same. We should remove this fake-title from the id-card.,hasty generalization
My brother said Messi has won more trophies with Barcelona than he has with Real Madrid so he does not deserve the trophy.,appeal to (false) authority
"Yes, ask the guys from PETA, of course they need special rights.",appeal to (false) authority
"Of course not, what kind of expert are you to suggest this s*it?",ad hominem
"He is dead, he died so young, he deserves the recognition.",appeal to pity
No company should their own HR for better quality,appeal to (false) authority
My boyfriend has the opinion that Apple has only his profit on his mind. So Apple 's swift will be a fail.,appeal to (false) authority
"Yes, I think so. Many of the employees have families with children.",appeal to pity
"Drinking at home is also harmful, but nobody argues against drinking.",equivocation
"If we let our country and the EU get extorted by the Greeks and allow them to leech off our current wealth any longer we are completely (and negatively) changing the prosperity and future of our own children and grandchildren. Our descandents will suffer the consequences and will pay on and on and on if we don't step in now. Think about your own kids and how they will grow up, knowing that their mom or dad did not have the courage to act and step in when the time demanded it! Imagine their disappointment in you, is that really what you want?",appeal to fear
"If we help Greece, then we will have to help another countries (Spain, Italy, Portugal) and Germany just cannot afford support all European countries!",equivocation
We should be working towards helping out planet and using natural resources.,appeal to nature
I like cheese on my sandwich,equivocation
"Yes, global warming is a serious issue.",nothing
There are some reasons for America's war on terror.,nothing
My teacher alwas took away our phones when we used them during class. I am sure he had a reason.,appeal to (false) authority
"I think these refugees had so far such a hard life, we should just let them live a peaceful life.",equivocation
You are such a right wing extremist!,ad hominem
I doubt that you know how the legal system in germany works.,ad hominem
Only people who are really dumb think celebrities get away with more crime.,ad hominem
That's like saying the Earth was created in literally 7 days- impossible. So global warming is impossible too.,equivocation
My teacher said global warming is a myth so therefore there is no global warming.,appeal to (false) authority
"They certainly could be more violent. The thing with Quentin Tarantino is that he understands the separation between real life and movies. He understands that movies are supposed to be wild and outrageous and that is exactly what his movies are known for, especially when it comes to violence. Scenes from movies like Django Unchained had body parts exploding off after being shot with a simple handgun. It's supposed to be for entertainment, and nothing more.",nothing
it is already too expensive,hasty generalization
No Test for an Argument,appeal to (false) authority
No. His father has caused a car accident last year.,equivocation
"In order to prevent more people to become ill, yes.",nothing
must do somthinggggggggggggggggggg  just goooooooooooooo onnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,hasty generalization
It will damage your eyes.,appeal to fear
"They brought several kilos of moon rocks back to earth, and you cannot simply fake four billion years old rock material.",nothing
onstar is gonna keep cars from flying,equivocation
Just because you would be a bad parent doesn't mean gay parents can't be good parents.,ad hominem
"Christiano Ronaldo hat viele Neider, doch er ist wohl mit Abstand der momentan beste Spieler der Welt.",nothing
"Sure, you meat eaters kill your children",ad hominem
"Ronaldo is the worlds best player,not Neuer",equivocation
It helps companies lower labor cost and increased realization of economics of scale,nothing
Yes we should do it.,nothing
We should allow it,nothing
Microsoft is not the new apple,nothing
"Definitely. There hadn't been such a touching movie for a long time. Plus, it's so heartbreaking, a true masterpiece of love..",appeal to positive emotion
Single sex schools are not good.,nothing
"Yes, the have money and that's pretty much all it takes to get away with a crime.",hasty generalization
Nuclear power is an incredibly reasonable power source granted it is used by people who are responsible. It's the most effective energy source in the world and incredibly clean.,nothing
Who controlls the controller?,nothing
"If we accept all the muslim immigrants, they will eventually change the entire religion landscape and I don't want to let them shut down the beautiful Christmas markets. Where would I meet with my friends then? In front of the Mosque?",equivocation
"There is no denying tat CO2 Emissions and average temperature aof the atmosphere both have gone up, there are many studies on it.",nothing
I heard a politiician on TV say that locking people up for drugs reduces crime.,appeal to (false) authority
People become too involved with social media and fail to make real personal connections with others,nothing
Because they post only useful information,nothing
"Yes, yesterday i talked to my neighbour about it. She said that these celebrities can do what they want, because they are rich.",appeal to (false) authority
"Animals have a conscious mind. That means they deserve protection through law, like humans do. Nevertheless they arent as intelligent as humans, thats why they need a special law.",nothing
My mother says always that the non- European immigrans destroy our culture.,appeal to (false) authority
"When we go to war, we kill children with drones and kill innocent civilians.",appeal to fear
This kind of music ruins our good society.,appeal to fear
"I read many facebook posts and comments from people who ""know stuff"".. you know.. behind the curtains... definitely experts... and they agree on that unanimously!",appeal to (false) authority
good life depends on the economy,ad hominem
"I agree, they are lazy.  While at it remove Spain too.",equivocation
After hogans heroes bob crane had his skull bashed in by a friend video taping having rough sex,ad hominem
It did because many people were killed an this was sad!,appeal to pity
"Taliban, IIS etc should be destroyed from root.",appeal to (false) authority
Because we have to save our country by avoiding pollution,appeal to (false) authority
You have really bad taste in music if you think he is influential.,ad hominem
My mother always told me that getting a child means you have to know how to look after it. A student should be able to think about it before and not have to ask for a special day care.,appeal to (false) authority
With everything going on in European and Middle Eastern Countries I just don't think this is an important issue we should rush into.,equivocation
Uniforms are the first sign of oppression in society.,equivocation
Being able to smoke at home should not be illegal as it is giving up your freedom.,ad hominem
Test for an Argument,nothing
Nuclear bombs are able to devastate whole landscapes. We should not allow this.,equivocation
"majority of musicians and independent labels playing ball with the Apples, Googles and Spotifys of the world, as if their industry vision is the only way forward.",equivocation
You are just dumb.,ad hominem
It doesn't matter! Animals can't think for themselves.,appeal to (false) authority
just do better just gooooooooooooooooooooooooooooooooooooooooo,hasty generalization
There is a good reason,nothing
"Yes, because the number of global conflicts are rising!",equivocation
"My friend said, that human dignity is more important.",appeal to (false) authority
"You want to split atoms in half? This energy-source builds upon destruction. Try something peaceful, like solar energy.",appeal to fear
In TV they said celebrities are treated better.,appeal to (false) authority
You're just a competitive idiot.,ad hominem
"Dont abort, you will miss some cute baby-eyes.",appeal to pity
"Environment is the best thing we got. You can go into the forest, you can smell the leafs. You can get rid of bad thoughts when you wander around through nature. Everything has to be done to protect it. Also a global environment task force.",appeal to positive emotion
I really don't think so,nothing
High noon everyone is hungry.,equivocation
"I think you have absolutely no idead, thats all.",ad hominem
"I think you are a bit paranoid, aren't you?",ad hominem
"We may not exclude greeks from our society. We have learned to love each other over generations, now you want a divorce?",appeal to pity
"Current civil unrest in Turkey is partly based on resentment of other European governments. Given the governments aren't getting along, it seems like Turkey isn't ready.",nothing
Hitler censored media. Kim yong il censored media. Only bad people censor media.,hasty generalization
"Soccer is a dumb sport, 22 grown up guys trying to get a ball. Why?",equivocation
"Yes, the Bild-Zeitung had the Bild-Girl for a while on the cover page. Can you remember? It was a nude girl. A NUDE GIRL. My children could see this nude girl. MY CHILDREN! Now they took it away, because many people were against it. But it should have been censored earlier.",appeal to fear
If you are dumb enough to want to kill yourself then why should I have to be around it?,ad hominem
"No,  its not worth the risk. So many people did already die because of radiation...",nothing
"If you don't allow animals to have rights, you shouldn't have them either.",nothing
"How could someone oppress our women? They are our mothers, our lovers, our everything.. nobody would be so cruel.",appeal to pity
Oliver Kahn was definitly the best worldkeeper when he played. He was trained by the same person as Neuer. Therefore Neuer was the best goalkeeper 2014 as well.,hasty generalization
People throw garbage out their windows.  Everyone throwing garbage out their windows will pile up in the streets.,hasty generalization
Apple has already succeeded when compared to Microsoft,equivocation
A good friend of mine explains day by dy why we absolutely should operate with military operations against the IS and he is absolutely right!,appeal to (false) authority
"Animals deserve to live, but humans are more important as a species therefore we can do whatever we want.",hasty generalization
Detention is good because it will make the student see the error of their ways. They will behave better when they know that bad behavior is punished.,Hasty Generalization
Cause the country is led by a dictator.,nothing
Of course they do.,nothing
My husband says the musicians earn enough. Why pay them extra?,appeal to (false) authority
"They do have a positive impact on my son, he is more social now. Therefore they are good for society, too.",hasty generalization
well it is a lie. its in the conspiracy theories,equivocation
I like how celebrities are treated like non-celebrities when it comes to the law.,appeal to ridicule
Global warming isn't an issue or it would never snow.,equivocation
"My stance is pro, not yours.",equivocation
Gorillas are very huge creatures and it should not be kept anywhere,False Causality
"If Greece leaves Europe, the IS or Russia will overtake the country which will lead to a new war!",appeal to fear
"I was at a normal school, and today i am studying. Obviously the grading system in high school was great.",hasty generalization
We should allow animal testing for medical purposes.,nothing
Democracy is good.,nothing
