Sentence,Label
"We have to let them know that we want to help them, not because we're simply trying to save our own skins, not because we're simply trying to fight Communism; but because we care for them, because we stand for freedom, because if there were no Communism in the world, we would still fight poverty and misery and disease and tyranny.",appeal to emotion
This is the greatest democracy in the world.,appeal to emotion
the freest press and the greatest First Amendment rights in the history of mankind,appeal to emotion
Our education is not up to the standards that the American family and the American people want for their children.,appeal to emotion
One of the uh - most embarrassing uh - failures,appeal to emotion
But I also believe that there can be and must be reasonable regulation .,appeal to emotion
"Well, the D . C .  vs .  Heller decision was very strongly—and she was extremely angry about it .",appeal to emotion
"I mean, she was very, very angry when upheld .",appeal to emotion
"But Hillary was extremely upset, extremely angry .",appeal to emotion
"We are going to appoint justices that will feel very strongly about the Second Amendment, that will not do damage to the Second Amendment .",appeal to emotion
And people that believe in the Second Amendment and believe in it very strongly were very upset with what she had to say .,appeal to (false) authority
"And, you know, look, I understand that Donald's been strongly supported by the NRA .  The gun lobby's on his side .  They're running millions of dollars of ads against me .",ad hominem
a significant bread earner,appeal to emotion
the only bread earner,appeal to emotion
The fact of the matter is the plan is so complex that the ordinary American is never going to ever figure out what they even qualify for.,appeal to emotion
disarray,appeal to emotion
We've got two and a half million more Americans out of work now than we had when Mr. Ford took office.,false causality
tremendous progress,appeal to emotion
"Now, I want to congratulate Mr. Kemp for being a lonely voice in the Republican party over the years on this question. It is -- it is with some sadness that I refer to the fact that the day after he joined Senator Dole's ticket, he announced that he was changing his position and was hereto, thereafter going to adopt Senator Dole's position to end all affirmative action.",appeal to emotion
"That when people own something, they have a stake in the American dream. That is Affirmative Action in America.",appeal to emotion
"With all due respect, I do not believe that Abraham Lincoln would have adopted Bob Dole's position to end all affirmative action.",appeal to (false) authority
"Well, the other day, Vice President Bush disclosed his tax returns to the American people. He's one of the wealthiest Americans, and he's our Vice President. In 1981 I think he paid about 40 percent in taxes. In 1983, as a result of these tax preferences, he paid a little over 12 percent, 12.8 percent in taxes. That meant that he paid a lower percent in taxes than the janitor who cleaned up his office or the chauffeur who drives him to work.",ad hominem
with all my heart,appeal to emotion
our first priority must be world peace,appeal to emotion
always and only a last resort,appeal to emotion
"I have seen four wars in my lifetime. I'm a father of sons; I have a grandson. I don't ever want to see another generation of young Americans bleed their lives into sandy beachheads in the Pacific, or rice paddies and jungles in the in Asia or the muddy battlefields of Europe.",appeal to emotion
"Mr. Stone, I have submitted an economic plan that I have worked out in concert with a number of fine economists in this country, all of whom approve it, and believe that over a five year projection, this plan can permit the extra spending for needed refurbishing of our defensive posture, that it can provide for a balanced budget by 1983 if not earlier, and that we can afford - along with the cuts that I have proposed in Government. spending",appeal to (false) authority
marriage penalty,appeal to emotion
we have gone from a $5 trillion projected surplus when George Bush took office to a $3 trillion projected deficit.,false causality
they know that people's lives and health are being risked,appeal to emotion
insensitive,appeal to emotion
"And when people vote, I think you're going to see a very strong verdict by the American people that they favor the approach that I'm talking about.",appeal to (false) authority
The American people want arms control.,appeal to (false) authority
"The American people see this debt, and they know it's got to come down.",appeal to (false) authority
"Crime has come down the last 2 years, for the first time in many, many decades that it has come down -- or since we've kept records -- 2 consecutive years, and last year it came down the biggest drop in crime that we've had. I think that we've had something to do with that, just as we have with the drug problem nationwide.",false causality
"And if it won't come down, the economy's going to slow down, maybe go into a recession.",slippery slope
It is absolutely essential in terms of bringing our banking system and credit system into the new age instead of having it living back in the dark ages. And it's a big fight.,appeal to emotion
The reason Medicare and Medicaid are a mess is we froze them.,false causality
the little stinky numbers,appeal to emotion
"This election is about the future of our country, not about personal attacks against one candidate or another.",appeal to emotion
I'm awful proud that the American people rejected that tactic so overwhelmingly,appeal to emotion
The US is in deep trouble.,appeal to emotion
a fateful decision,appeal to emotion
"Give us a chance. With your help, we'll change this country and we can't wait to get started.",appeal to emotion
I think of a woman in Chicago when I was talking to parents about education where she stood up and said I'm sick and tired of these schools in this city being nothing but a factory for failure.,appeal to emotion
Bill Clinton simply has trouble telling the truth?,ad hominem
to fish in troubled waters,appeal to emotion
Numerous administrations going back certainly to World War II have had to wrestle with the problem of what should happen to the Middle East.,slippery slope
"I think it -- that we have a safer nation, but we are a long way from safe.",appeal to emotion
We are less respected now than we were eight years ago or even four years ago.,appeal to emotion
"In the meantime, bin Laden is still out there. He is not captured. He is not killed.",appeal to emotion
this stubbornness,appeal to emotion
"And I -- and I honestly don't believe that Senator Obama has the knowledge or experience and has made the wrong judgments in a number of areas, including his initial reaction to Russian invasion -- aggression in Georgia",appeal to (false) authority
a terrible mistake,appeal to emotion
"so.I ask Hillary, why doesn’t—she made $250 million by being in office. She used the power of her office to make a lot of money. Why isn’t she funding, not for $100 million, but why don’t you put $10 million or $20 million or $25 million or $30 million into your own campaign?",appeal to (false) authority
"But it's very important that we not overstep our bounds and I think most people -- most police officers are good, dedicated, honorable citizens who are doing their job, putting their lives at risk who aren't bigoted or aren't prejudiced.",appeal to emotion
"And as for singling people out because of race, you know, James Byrd was singled out because of his race in Texas.",appeal to emotion
"I believe, though -- I believe, as sure as I'm sitting here, that most Americans really care. They're tolerant people. They're good, tolerant people.",appeal to emotion
"And to make sure our society is as hopeful as it possibly can be, every single child in America must be educated. I mean every child.",appeal to emotion
There is nothing more prejudiced than not educating a child.,appeal to emotion
"I talked to an African-American police officer in Springfield, Massachusetts not long ago who raised this question and said that in his opinion one of the biggest solutions is in the training.",appeal to (false) authority
"My friend, Phyllis Hunter, is here. She had one of the greatest lines of all lines. She said, reading is the new civil right. She's right.",appeal to (false) authority
a catastrophic mistake,appeal to emotion
"beyond pitiful, beyond embarrassing, in the zone of dangerous",appeal to emotion
"I visited some of those kids with no limbs today, because they didn't have the armor on those vehicles. They didn't have the right body armor.",appeal to emotion
a slush fund,appeal to emotion
"There is no bigger judgment for a president of the United states than how you take a nation to war. And you can't say, because Saddam might have done it 10 years from now, that's a reason; that's an excuse.",appeal to (false) authority
"The truth of that matter is, if you listen carefully, Saddam would still be in power if he were the president of the United States, ""And the world would be a lot better off.""",slippery slope
"I regret to say that the president who called himself a uniter, not a divider, is now presiding over the most divided America in the recent memory of our country.",appeal to emotion
I've never seen such ideological squabbles in the Congress of the United States. I've never seen members of a party locked out of meetings the way they're locked out today.,appeal to emotion
the most significant effort,appeal to emotion
My biggest disappointment in Washington is how partisan the town is.,appeal to emotion
incredibly enough,appeal to emotion
John McCain is for me for president because he understands I have the right view in winning the war on terror and that my plan will succeed in Iraq.,appeal to (false) authority
"I think people understand what she's saying.  But they see a compassionate, strong, great first lady in Laura Bush.",appeal to (false) authority
"But let's not go back to that-what they call supply management and production control, that'll simply price us out of the international market.",false causality
"Well, I think we have to go to work on the problem of Third World debt and we've got to assist those Third World countries in dealing with this massive debt which they currently-which they have incurred and which is burdening them and which if we don't do something about it and assist them along with other nations around the world, we'll destroy their economies, destroy their future. And at the same time will destroy markets that are important to our farmers.",slippery slope
an aggressive brown field program,appeal to emotion
We might have no other choice. We'll have to see if that happens.,appeal to emotion
pretty well decimated,appeal to emotion
a good job of stripping out the capacity,appeal to emotion
"if we had evidence, credible evidence",appeal to emotion
"We are supporting them in their efforts and will continue to support them until the Iraqi people rise up and do what the people of Serbia have done in the last few days, get rid of a despot. We'll welcome you back into the family of nations where you belong.",appeal to emotion
"I've worked hard in the State of Texas to make sure our institutions reflect the state with good, smart policy.",appeal to emotion
I know what a hate crime statute pending at the national level is all about in the aftermath of James Byrd's death.,appeal to emotion
"And incidentally, Mel Carnahan in Missouri had the finest record on diversity in any governor in the entire history of the State of Missouri. And I want to honor that among his other achievements here.",appeal to (false) authority
"I'm against quotas. This is, with all due respect, Governor, that's a red herring.",ad hominem
That's not wishy- washy.,appeal to emotion
"That's not wishy-washy, and that's what I'm fighting for, you.",appeal to emotion
a grave threat,appeal to emotion
a fantastic program,appeal to emotion
"I do not suggest in any way, nor have I ever, that that indicates that Mr. Nixon has the slightest sympathy, involvement, or in any way imply any inferences in regard to the Ku Klux Klan.",appeal to emotion
That's absurd.,appeal to emotion
"I've never suggested, even by the vaguest implication, that he did anything but disapprove it.",appeal to emotion
Communism is the enemy of all religions; and we who do believe in God must join together.,appeal to emotion
The worst thing that I can think can happen in this campaign,appeal to emotion
"I obviously repudiate the Klan; I repudiate anybody who uses the religious issue; I will not tolerate it, I have ordered all of my people to have nothing to do with it and I say - say to this great audience, whoever may be listening, remember, if you believe in America, if you want America to set the right example to the world, that we cannot have religious or racial prejudice.",appeal to emotion
"These kinds of approaches are very dangerous to the security, the well being and the peace of mind of the retired people of this country and those approaching retirement age.",appeal to emotion
"Mr. President, the voluntary thing that I suggested many years ago was that with a young man orphaned and raised by an aunt who died, his aunt was ineligible for Social Security insurance because she was not his mother.",appeal to emotion
"I would like to make a change in the regulation that discriminates against a wife who works and finds that she then is faced with a choice between her father's or her husband's benefits, if he dies first, or what she has paid in; but it does not recognize that she has also been paying in herself, and she is entitled to more than she presently can get.",appeal to emotion
disgraceful,appeal to emotion
the deleterious comments,appeal to emotion
"Although Governor Reagan has changed his position lately, on four different occasions, he has advocated making Social Security a voluntary system, which would, in effect, very quickly bankrupt it.",slippery slope
the plague of gun violence,appeal to emotion
a beautiful thing,appeal to emotion
a tremendous impact,appeal to emotion
Tremendous beyond belief.,appeal to emotion
a tremendously successful club,appeal to emotion
"country.I just got today the, as you know, the endorsement of the Fraternal Order of Police, we just—just came in.",appeal to (false) authority
"We have endorsements from, I think, almost every police group, very—I mean, a large percentage of them in the United States.We",appeal to (false) authority
"I have the endorsement of the NRA, which I'm very proud of.",appeal to (false) authority
"In a place like Chicago, where thousands of people have been killed, thousands over the last number of years, in fact, almost 4,000 have been killed since Barack Obama became president, over—almost 4,000 people in Chicago have been killed.",false causality
"These are people that are bad people that shouldn't be—when you have 3,000 shootings in Chicago from January 1st, when you have 4,000 people killed in Chicago by guns, from the beginning of the presidency of Barack Obama, his hometown, you have to have stop-and-frisk.",false causality
strongly.I do want to bring up the fact that you were the one that brought up the words super-predator about young black youth.,ad hominem
the whole racist birther lie,ad hominem
this racist lie,ad hominem
he has a long record of engaging in racist behavior.,ad hominem
the birther lie,ad hominem
"I know it's tough and honest people can disagree. But when a narcotics wrapped up guy goes in and murders a police officer, I think they ought to pay with their life. And I do believe it would be inhibiting.",appeal to emotion
"And so I am not going to furlough men like Willie Horton, and I would meet with their, the victims of his last escapade, the rape and the brutalization of the family down there in Maryland.",appeal to emotion
"As I've seen abortions sometimes used as a birth control device, for heavens sakes.",appeal to emotion
I don't favor abortion. I don't think it's a good thing. I don't think most people do.,appeal to (false) authority
"Maryland would not extradite Willie Horton, the man who was furloughed, the murderer, because they didn't want him to be furloughed again.",appeal to (false) authority
"You know, the vice president says he wants to impose the death penalty on drug traffickers, and yet his administration has a federal furlough program which is one of the most permissive in the country, which gave last year 7,000 furloughs to drug traffickers and drug pushers, the same people that he says he now wants to execute.",ad hominem
complete uh - economic chaos,appeal to emotion
because I think that if the federal government moved out of the program and withdrew its supports uh - then I think you would have complete uh - economic chaos.,slippery slope
"And if the agricultural economy collapses, then the economy of the rest of the United States sooner or later will collapse.",slippery slope
"So if the farmers' economy continues to decline as sharply as it has in recent years, then I think you would have a recession in the rest of the country.",slippery slope
those terrible things,appeal to emotion
in every possible circumstance that we can,appeal to emotion
"Beyond that, as far as the gold supply is concerned, and as far as the movement of gold is concerned, uh - we have to bear in mind that we must get more help from our allies abroad in this great venture in which all free men are involved of winning the battle for freedom.",appeal to emotion
this great venture,appeal to emotion
the battle for freedom,appeal to emotion
a tremendous load,appeal to emotion
The United States cannot continue to carry the major share of this burden by itself.,appeal to emotion
There will be a job-sucking sound going south.,appeal to emotion
So this is a serious threat.,appeal to emotion
This is dangerous. It isn't just naive; it's dangerous.,appeal to emotion
most repressive and brutal regime probably on Earth,appeal to emotion
"Again, it may not work, but if it doesn't work, then we have strengthened our ability to form alliances to impose the tough sanctions that Senator McCain just mentioned.",appeal to (false) authority
she's got no business ability,ad hominem
she doesn't have that,ad hominem
"Now in the last Congress - the special session of the Congress - there was a bill: one by the President, one by Senator Kennedy and members of his party. Now the bill that the President had submitted would have provided more aid for those areas that really need it - areas like Scranton and Wilkes-Barre and the areas of West Virginia - than the ones that Senator Kennedy was supporting. On the other hand we found that the bill got into the legislative difficulties and consequently no action was taken.",ad hominem
the catastrophic cases,appeal to emotion
the frivolous lawsuits,appeal to emotion
"In California, sometime ago, a man beat a woman so savagely that her unborn child was born dead with a fractured skull, and the California State Legislature unanimously passed a law that was signed by the then-Democratic Governor -- signed a law that said that any man who so abuses a pregnant woman that he causes the death of her unborn child shall be charged with murder.",appeal to emotion
We're going to have to-the MX. We're going to have to do that. It's Christmas.,appeal to emotion
I think it was one of the things that Mr. Bush said about Mr. Reagan back in 1980.,appeal to (false) authority
I thought the administration was opposed to the Midgetman. I thought the administration was at the negotiating table in Geneva suggesting that we ban mobile missile systems entirely.,appeal to (false) authority
"else.If we set those goals and we go together to try to achieve them, there’s nothing in my opinion that America can’t do.",appeal to emotion
"I want us to heal our country and bring it together because that’s, I think, the best way for us to get the future that our children and our grandchildren deserve.",appeal to emotion
such foolish things,appeal to emotion
some horrible things,appeal to emotion
"a terrorist state,",appeal to emotion
the number one terror state,appeal to emotion
such tremendous potential,appeal to emotion
We’re going to have a strong border. We’re going to bring back law and order.,appeal to emotion
"Just today, policemen was shot, two killed. And this is happening on a weekly basis.",appeal to emotion
"I want to do things that haven’t been done, including fixing and making our inner cities better for the African-American citizens that are so great, and for the Latinos, Hispanics, and I look forward to doing it. It’s called make America great again.",appeal to emotion
"we have a world where you have ISIS chopping off heads, where you have—and, frankly, drowning people in steel cages, where you have wars and horrible, horrible sights all over, where you have so many bad things happening, this is like medieval times.",appeal to emotion
horrible sights all over,appeal to emotion
this is like medieval times,appeal to emotion
"We haven’t seen anything like this, the carnage all over the world.And they look and they see.",appeal to emotion
I will knock the hell out of ISIS.,appeal to emotion
We’re going to defeat ISIS.,appeal to emotion
tremendous respect,appeal to emotion
And I will tell you that I’m going to make our country safe.,appeal to emotion
"That’s why—to go back to your question—I want to send a message—we all should—to every boy and girl and, indeed, to the entire world that America already is great, but we are great because we are good, and we will respect one another, and we will work with one another, and we will celebrate our diversity.These",appeal to emotion
"It’s just words, folks. It’s just words.",appeal to emotion
"a disaster education-wise, job-wise, safety-wise, in every way possible",appeal to emotion
"I’m going to help the African-Americans. I’m going to help the Latinos, Hispanics.",appeal to emotion
a terrible job,appeal to emotion
"When they go low, you go high",appeal to emotion
"religion.He never apologized to the distinguished federal judge who was born in Indiana, but Donald said he couldn’t be trusted to be a judge because his parents were, quote, “Mexican.”He never apologized to the reporter that he mimicked and mocked on national television and our children were watching. And he never apologized for the racist lie that President Obama was not born in the United States of America. He owes the president an apology, he owes our country an apology, and he needs to take responsibility for his actions and his words.",appeal to emotion
the distinguished federal judge,appeal to emotion
you acid washed,appeal to emotion
you acid wash them or bleach them,appeal to emotion
"And it’s a disgrace. And honestly, you ought to be ashamed of yourself.",appeal to emotion
"Last time at the first debate, we had millions of people fact checking, so I expect we’ll have millions more fact checking, because, you know, it is—it’s just awfully good that someone with the temperament of Donald Trump is not in charge of the law in our country.",appeal to emotion
just awfully good,appeal to emotion
Because you’d be in jail.,appeal to emotion
"But for you to say that there was nothing wrong with you deleting 39,000 e-mails, again, you should be ashamed of yourself.",appeal to emotion
"But if I win, I am going to instruct my attorney general to get a special prosecutor to look into your situation, because there has never been so many lies, so much deception.",appeal to (false) authority
"What we all saw and heard on Friday was Donald talking about women, what he thinks about women, what he does to women.",ad hominem
We have seen him insult women.,ad hominem
"We’ve seen him rate women on their appearance, ranking them from one to ten.",ad hominem
We’ve seen him embarrass women on TV and on Twitter.,ad hominem
"We saw him after the first debate spend nearly a week denigrating a former Miss Universe in the harshest, most personal terms.So",ad hominem
"But it’s not only women, and it’s not only this video that raises questions about his fitness to be our president, because he has also targeted immigrants, African-Americans, Latinos, people with disabilities, POWs, Muslims, and so many others.So",ad hominem
"Mine are words, and his was action. His was what he’s done to women. There’s never been anybody in the history of politics in this nation that’s been so abusive to women.",ad hominem
"So you can say any way you want to say it, but Bill Clinton was abusive to women.Hillary Clinton attacked those same women and attacked them viciously.",ad hominem
Donald insulted and attacked them for weeks over their religion.He,ad hominem
"Well, you owe the president an apology, because as you know very well, your campaign, Sidney Blumenthal—he’s another real winner that you have—and he’s the one that got this started, along with your campaign manager, and they were on television just two weeks ago, she was, saying exactly that. So you really owe him an apology.",ad hominem
she’s lying again,ad hominem
"And, as a result, America is now bearing this extraordinary burden where we are not as safe as we ought to be.",appeal to emotion
"But I pledge this to you, America: I will do it in the way that Franklin Roosevelt and Ronald Reagan and John Kennedy and others did, where we build the strongest alliances, where the world joins together, where we have the best intelligence and where we are able, ultimately, to be more safe and secure.",appeal to (false) authority
"Senator McCain opposed funding for troops in legislation that had a timetable, because he didn't believe in a timetable.",appeal to (false) authority
Admiral Mullen suggests that Senator Obama's plan is dangerous for America.,appeal to (false) authority
"Our initial military success, we went in to Baghdad and everybody celebrated. And then the war was very badly mishandled. I went to Iraq in 2003 and came back and said, we've got to change this strategy. This strategy requires additional troops, it requires a fundamental change in strategy and I fought for it. And finally, we came up with a great general and a strategy that has succeeded. This strategy has succeeded. And we are winning in Iraq.",false causality
"We have lost over 4,000 lives. We have seen 30,000 wounded, and most importantly, from a strategic national security perspective, al Qaeda is resurgent, stronger now than at any time since 2001.",false causality
voodoo economics,appeal to emotion
villain,appeal to emotion
"very, very divided condition",appeal to emotion
disgrace,appeal to emotion
plaguing,appeal to emotion
"We've got a - a sharp distinction drawn between white collar crime - the - the - the big shots who are rich, who are influential uh very seldom go to jail; those who are poor and - and who have uh no influence - uh quite often are the ones who are punished.",appeal to emotion
"If you want somebody who is willing to fight for you, I am asking for your support and your vote and, yes, your confidence and your willingness to believe that we can do the right thing in America, and be the better for it.",appeal to (false) authority
"Now, that, I think, is one of the most serious, sort of, reversals or mixed messages that you could possibly send.",appeal to emotion
"He changes positions on something as fundamental as what you believe in your core, in your heart of hearts, is right in Iraq.",appeal to emotion
I have no intention of wilting. I've never wilted in my life. And I've never wavered in my life.,appeal to emotion
"Again, I can't tell you how big a mistake I think that is, to have bilateral talks with North Korea.",appeal to emotion
Ask the people in the armed forces today.,appeal to (false) authority
And Colin Powell so stated.,appeal to (false) authority
"As George Will said the other day, ""Freedom on the march; not in Russia right now.""",appeal to (false) authority
It's not what the American people thought they were getting when they voted.,appeal to (false) authority
The president did nothing.,ad hominem
"Right now the president is spending hundreds of millions of dollars to research bunker-busting nuclear weapons. The United States is pursuing a new set of nuclear weapons. It doesn't make sense.  You talk about mixed messages. We're telling other people, ""You can't have nuclear weapons,"" but we're pursuing a new nuclear weapon that we might even contemplate using.",ad hominem
"The minute we have bilateral talks, the six-party talks will unwind.",slippery slope
"And it is one of the things I've learned in the White House, is that there's enormous pressure on the president, and he cannot wilt under that pressure. Otherwise, the world won't be better off.",slippery slope
"It will cause the six-party talks to evaporate. It will mean that China no longer is involved in convincing, along with us, for Kim Jong Il to get rid of his weapons.",slippery slope
"And if you enter bilateral talks, they'll be happy to walk away from the table.",slippery slope
"Absolutely, and I proposed over a hundred billion dollars in cuts in Federal spending over 4 years, but I am not going to cut it out of Social Security and Medicare and student assistance and things -- [applause] -- that people need.",appeal to emotion
And there are other ways of squeezing this budget without constantly picking on our senior citizens and the most vulnerable in American life.,appeal to emotion
I resent that comment.,appeal to emotion
Our bonds with Israel are larger than agreements or disagreements on some details of diplomatic initiatives.,appeal to emotion
"They are historic, they are strong, and they are enduring.",appeal to emotion
I want everybody to know should I be the president Israel's going to be our friend.,appeal to emotion
I'm going to stand by Israel,appeal to emotion
We don't know whether he's developing weapons of mass destruction.,appeal to emotion
He is a danger.,appeal to emotion
"The use of diplomacy in this situation has already, well, it goes hour-by-hour and day-by-day now. It's a very tense situation there.",appeal to emotion
I want everybody to know should I be the president Israel's going to be our friend. I'm going to stand by Israel.,appeal to emotion
We don't know whether he's developing weapons of mass destruction,appeal to emotion
fishing in troubled waters,appeal to emotion
"I know the governor's not necessarily saying that but, you know, all of these flights that have come in, all of them have been in accordance with the sanctions regime, I'm told, except for three where they notified, and they're trying to break out of the box, there's no question about it.",appeal to (false) authority
This is the history of dealing with dictators.,appeal to emotion
Now what do the Chinese Communists want? They don't want just Quemoy and Matsu; they don't want just Formosa; they want the world.,appeal to emotion
I will not do anything to affect the rights of hunters or sportsmen.,appeal to emotion
"Look, this is the year -- this is in the aftermath of Columbine, and Paducah, and all the places in our country where the nation has been shocked by these weapons in the hands of the wrong people.",appeal to emotion
"The woman who bought the guns for the two boys who did that killing at Columbine said that if she had had to give her name and fill out a form there, she would not have bought those guns.",appeal to emotion
"Some desperate child needs to have somebody put their arm around them and say, we love you.",appeal to emotion
a flood of cheap handguns,appeal to emotion
"And the ""Los Angeles Times"" spent a lot of ink going into that.",appeal to (false) authority
Tipper and I have worked on the problem of violence in entertainment aimed at children. She's worked on it longer than I have.,appeal to (false) authority
I know I'm ready for it. I think the American people are too.,appeal to emotion
"The position of the United States has been that this build-up, in the words of the president, has been foolish.",appeal to emotion
a fundamental error,appeal to emotion
foolish,appeal to emotion
I would say that the issue will stay with us as a campaign issue just as long as Senator Kennedy persists in what I think is a fundamental error.,ad hominem
"First of all Â I want to make it clear, our military is the strongest, best-trained, best-equipped, best-led fighting force in the world and in the history of the world.",appeal to emotion
My uncle was a victim of poisonous gas there.,appeal to emotion
The other day I was honored to be flanked by Colin Powell and General Norman Schwartzkopf recently stood by me side and agreed with me.,appeal to (false) authority
"Tonight in the audience there's one elected state senator who is a Democrat, a former state-wide officer who is a Democrat, a lot of Democrats who are here in the debate to -- because they want to show their support that shows I know how to lead.",appeal to (false) authority
Right now our military is the strongest in the entire history of the world.,appeal to emotion
"the serious, serious threat",appeal to emotion
I want us to invest in you. I want us to invest in your future.,appeal to emotion
a beautiful thing to watch,appeal to emotion
trumped-up trickle-down,appeal to emotion
I don't think General Douglas MacArthur would like that too much.,appeal to (false) authority
"You know, Donald was very fortunate in his life, and that's all to his benefit. He started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off we'll be and that everything will work out from there. I don't buy that.",ad hominem
I've heard from so many of you about the difficult choices you face and the stresses that you're under,appeal to emotion
needs.Our country's in deep trouble.,appeal to emotion
"a very, very sad thing.So",appeal to emotion
"Donald was very fortunate in his life, and that's all to his benefit. He started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off we'll be and that everything will work out from there.I don't buy that.",ad hominem
"Secretary Clinton and others, politicians, should have been doing this for years, not right now, because of the fact that we've created a movement. They should have been doing this for years.",ad hominem
incomes.I want us to invest in you.,appeal to emotion
